id,name,tagline,bio,photo
36c21081-392b-4df4-87d2-7fdc611febb1,Aivars Kalvāns,"Eat, sleep, code, repeat.","Aivars Kalvāns is a FinTech developer, software architect, and consultant. He spent more than 18 years at Tieto developing and architecting payment card software for acquiring and issuing, accounting and utility payments through mobile phones, ATMs, and POS terminals. At the moment he is a contractor for Ebury exploring the Foreign Exchange area of the FinTech landscape.",https://sessionize.com/image/9938-200o200o2-9855e59e-f1d8-4e94-be53-c7c52ffe180f.jpg
4e71ed67-7c18-49a8-a316-6d157ee11a26,Alessandro Romano,Senior Data Scientist,I'm an experienced data scientist with a Bachelor’s degree in computer science and a Master’s in data science.I have collaborated with a variety of companies and organizations and currently hold the role of senior data scientist at Kuehne+Nagel. I am passionate about statistics and digital experimentation and have a strong track record of applying these skills to solve complex problems.,https://sessionize.com/image/384c-200o200o2-KR7EvL1VF5gXqZStsrUMKV.jpg
e1cbbc13-c838-4b0b-a717-9ab8a6e27ccc,Alexandra Pop,"def search_python(resume_text): keyword = ""Python"" if keyword in resume_text: return True else: return False","Introducing Alexandra Pop, the Recruitment Dynamo with a Python Twist! With a whopping seven years of industry experience, she's the Recruitment Operations Maestro at E-Frontiers.Alexandra's networking skills are smoother than a well-commented codebase. Armed with her sourcing strategies, she's like a talent magnet, attracting top-notch passive candidates like bees to honey.But that's not all! Alexandra ensures the recruitment process is tighter than a Python loop. She's the queen of attention to detail, leaving no stone unturned and no resume unread. When it comes to matching clients' requirements with the perfect candidates, Alexandra's powers are unmatched. Hiring, process improvement, and customer relationship management (CRM) are Alexandra's secret weapons. She's on a mission to guide job seekers through the recruitment maze, providing CV advice, interview preparation, and a no-nonsense service.",https://sessionize.com/image/215f-200o200o2-Budj63D6rtXDNNBE15gjma.JPG
201a62bb-3b8d-4f14-9eaf-69b6f20fe996,Alihan Zıhna,"CKDelta, Lead Data Scientist",Alihan is working as a Lead Data Scientist in CKDelta. He originally switched to this career after falling in love with the idea of making intelligent applications but now he's just obsessed with just making them reliable.,https://sessionize.com/image/dc6a-200o200o2-LGYYdHuPfnrT5yxaWdTnMS.jpg
57cb0ffb-2fca-4c3c-99ed-4b6e79de40fb,Allen Thomas Varghese,Lead Software Engineer,"With 14 years of experience as a full-stack software development in healthcare, retail, insurance, online education, and web development using Cloud and on-premise deployments",https://sessionize.com/image/e8a9-200o200o2-HJQpZ1ijCoFME6tjAoeB71.jpeg
f41f5963-450e-44f0-93d0-deb9fbdc05f8,Allyn Hunt,"Allyn Hunt, Senior Deep Learning Hardware Design Engineer, Gamer, Father.","I am a Senior Hardware Design Engineer, working on AI products. In my spare time, I like to play video games and design web applications with Python and ReactJS.",https://sessionize.com/image/0181-200o200o2-WhzaLj2DasGzs9mnm7t9Qc.jpg
49829e1d-e094-4eb5-9852-dc2739f3f6ac,Deepak John Reji,NLP Data Scientist at Environmental Resources Management (ERM),"Deepak John Reji is an NLP practitioner & Researcher with experience in developing and designing solutions for data science products. Deepak loves working with environmental data, and he creates videos on various prototypes and AI tutorials. Deepak is the host of the D4 Data Channel podcast which hosts industry experts, and academicians from the Data Science and Sustainability fields.Deepak is an open-source contributor and shares his models and packages in Huggingface and PyPI repositories. Recently he has been researching the topic ""Bias & Fairness in AI Models"" & ""Environmental Remediation""Youtube: https://www.youtube.com/@deepakjohnrejiGoogle Scholar: https://scholar.google.com/citations?user=4azuuXAAAAAJ&hl=en",https://sessionize.com/image/ca22-200o200o2-saZgiAtK3XVduSCQT9KPxE.jpg
323c07c7-b082-4dfa-9662-d20ea3aacbdb,Eoin Halpin,"Analyst, Project/Program Management at Dell Technologies","Project/Program Management Analyst with a Business Degree Majoring in Risk & Insurance, and a Master's in Business Analytics, I bring a blend of business acumen and technical expertise to my role. I work continuously to achieve increased proficiency in tools and technologies including R, PowerBI, SQL, Python, Excel, Snowflake, Qualtrics, and Jupyter notebooks. I have regularly demonstrated my ability to effectively analyze complex datasets and present insights to stakeholders; identifying potential risks, evaluating their impact, and developing strategies for risk mitigation. I help businesses to unlock the potential in their data, in doing so I have collaborated with cross-functional teams to deliver innovative solutions that drive business success.",https://sessionize.com/image/5064-200o200o2-QuShQQdArrQv2AcbsPhrDF.jpg
8b846833-e2d0-4324-a865-29415e5a97f7,Falko Schindler,Lead Developer at Zauberzeug,"Falko is a software engineer and a key member of the team at Zauberzeug, a multidisciplinary tech company located near Münster, Germany. At Zauberzeug, they blend expertise from machine engineering, electronics, backend and frontend programming to machine learning and artificial intelligence, creating innovative solutions in the scope of mobile robotics and automation.After his study of Geodesy and Geoinformation, Falko received his PhD from the University of Bonn's Department of Photogrammetry, where he developed a keen interest and expertise in developing software for image analysis and processing 3D point clouds.At Zauberzeug, Falko has honed his skills and specialized in creating a versatile core software stack for developing robotics projects. His portfolio of work includes the creation of a firmware for microcontrollers complete with a domain-specific language known as ""Lizard"", the robust robotics system ""RoSys"", and of course, the intuitive web framework ""NiceGUI"". His multifaceted background and passion for delivering efficient and user-friendly software solutions have been key in propelling Zauberzeug's success in the tech industry.",https://sessionize.com/image/c340-200o200o2-RwybdfD29zzCHF4Nt35ESP.jpeg
459648e2-6e8b-4ad7-8429-6033c885b84d,Gavin Chan,"VP software engineer, JP Morgan Chase Asset Management",Gavin Chan is currently a VP software engineer in JP Morgan Chase Asset Management. He was previously a principal quantitative developer in AXA Investment Managers Chorus Ltd with 10+ years of experience in software development and finance industry.,https://sessionize.com/image/741c-200o200o2-3N7qbqa77qnwmGKyYJ3gzu.jpeg
c2df6291-b163-497c-8eef-78d37fe0669c,Gerard Keating,Senior Software Engineer at Keelvar,"Highly skilled Software Engineer with over 15 years experience in multiple industries including e-commerce, cyber security and visual effects in both SMBs and LEs. Experienced in all parts of the SDLC including experience in leading, managing, mentoring and coaching teams both in person and remotely. These experiences are backed up with strong technical qualifications such as a degree in Computer Science from Trinity College Dublin, a Master of Science in Computer Animation and a Professional Scrum Master certificate.",https://sessionize.com/image/b878-200o200o2-T4t1JwyjSuJY9XoEftTJKN.jpg
6f0dc57c-6397-4010-ab0f-1f2d2574da94,Javier Fernandez,"Flower Labs, Research Scientist","Javier is a research scientist at Flower Labs and the creator of the Flower Simulation Engine. The Flower Simulation Engine allows running Federated Learning workloads in a resource-aware manner and to scale these to thousands of active clients through an intuitive Python API. Javier's interests lie in the intersection of Machine Learning and Systems and, more concretely, running on-device ML workloads, a key component in Federated Learning. Javier often writes about running ML on embedded devices such as Raspberry Pi or NVIDIA Jetson. Javier got his PhD in Computer Science from the University of Oxford in 2021. Before joining Flower Labs, Javier worked as a research scientist at Samsung AI (Cambridge, UK)",https://sessionize.com/image/00db-200o200o2-Uy7qgbX8NzbMXGKWeuf8b6.png
af2eaf38-1f9d-43b2-96fc-25b4192fba1a,John Curry,"CEO of Last Mile AI (www.lastmile-ai.com), gentleman programmer and sometimes data scientist","John heads up Last Mile AI with clients in Singapore, the US, UK and Ireland across various sectors including financial services, education and manufacturing. He has a particular interest in Python and open source in general. As they provide the building blocks for his commercial AI consultancy and product creation, it's important for him to participate in the Python ecosystem where all the best ideas, tools and people can be found!",https://sessionize.com/image/de9a-200o200o2-3WFK4c3RKXFDDYV4rShYq7.jpeg
99d4e935-a90b-44c0-ad2b-5f3e5456ef17,John Savage,ML Scientist @ Overstock,"I’m a chemist by training and did a computational/theoretical chemistry PhD in Chicago, then came back to Ireland and for the next 5 years worked in Dublin as a Data Scientist at IBM, Deutsche Bank, and a biotech startup called Nuritas. Now at Overstock in Sligo, I work on the ranking team, where we use machine learning to show customers the products they’re most likely to buy when they search on the site.",https://sessionize.com/image/023b-200o200o2-4QWMUZDYLUuXqzGZinYUo4.jpg
5fa2b298-f1e7-4648-8bca-62cda6310656,Kairo Francisco de Araujo,"VMware, Senior Open Source Engineer","Kairo is a Senior Open Source Software Engineer at VMware Open Source Program Office (OSPO) on the Security Supply Chain team. He contributed to python-tuf and is the author of Repository Service for TUF (RSTUF). Prior roles include System Engineer Specialist and Senior Software Engineer at IBM, ING, and Forescout.",https://sessionize.com/image/e232-200o200o2-D6jAYVBuHPvt256d4sADp3.jpg
4f5066c4-b779-4580-a00a-3d9a2205d91c,Kristian Scholze,Professional Rubber Ducky,Software engineer by heart. Automation aficionado. Bug extinguisher extraordinaire.,
eb491a52-66fe-49c8-ae41-5f2a089eaa94,Liliya Akhtyamova,,"Liliya Akhtyamova, a Ph.D. holder in NLP, brings over seven years of experience in advancing cutting-edge AI systems. She has authored 10+ research papers and presently serves as a Data Scientist and ML Engineer, spearheading Talent Cloud innovation. Liliya is also an active member of the Women in AI Ireland community. In her spare time, she finds solace outdoors, often aiming at above 1000 metres or below sea level.",
