id,name,tagline,bio,photo
5fd9c77f-4fb0-4085-acac-7a33e23c44ff,Alessandro Molina,"Voltron Data Labs, Director of Engineering","Python developer since 2001, has always been interested in Python as a Web Development Platform.A core developer of the TurboGears2 web framework and maintainer of Beaker Caching/Session framework; has collaborated with various python projects related to web development like FormEncode, ToscaWidgets2, the Sprox widget generation library, the Ming MongoDB ORM and authored the DukPy Javascript interpreter for Python and the DEPOT file management framework for web applications.Currently working as the Director of Engineering for Voltron Data Labs.",https://sessionize.com/image/a053-200o200o2-WV2fie6ZXuxSDaJi4339y1.png
f41f5963-450e-44f0-93d0-deb9fbdc05f8,Allyn Hunt,"Allyn Hunt, Senior Deep Learning Hardware Design Engineer, Gamer, Father.","I am a Senior Hardware Design Engineer, working on AI products. In my spare time, I like to play video games and design web applications with Python and ReactJS.",https://sessionize.com/image/496e-200o200o2-QLNQtsZGFJq8RyfnX9A7ie.jpg
b2b1dab7-4e44-44c1-8de4-06fa631212cc,Ben Fagan,Software Engineer,Software Engineer specialising in Python development who loves building things.,https://sessionize.com/image/4e75-200o200o2-wKGzYGTDkGR1M3UhCcDgkY.jpg
e142a8fb-ac27-4c73-96ec-e4f1fe620ca3,Cheuk Ting Ho,Developer Advocate @ Anaconda,"Before working in Developer Relations, Cheuk has been a Data Scientist in various companies which demands high numerical and programmatical skills, especially in Python. To follow her passion for the tech community, now Cheuk is the Developer Advocate for Anaconda.Besides her work, Cheuk enjoys speaking at various conferences. Cheuk also organises events for developers. Cheuk has organised conferences including EuroPython (of which she is a board member), PyData Global and Pyjamas Conf. Believing in Tech Diversity and Inclusion, Cheuk constantly organizes workshops and mentored sprints for minority groups. In 2021, Cheuk has become a Python Software Foundation fellow.",https://sessionize.com/image/02b0-200o200o2-X2ZpsvAzHfef82YhYhmDsZ.JPG
f42d6a73-7a90-4856-817e-a82f357dcc24,Christian Ledermann,"Senior Software Engineer at Oomnitza in Galway, Ireland","I have been working in the Software industry for over 25ish years in 4 Countries - 🇩🇪, 🇰🇪, 🇬🇧, and 🇮🇪 . The first time I saw a Python prompt it displayed the version Number 1.5.2 🦖, professionally I used python since 2003, (Python 2.2)",https://sessionize.com/image/f940-200o200o2-Krm3fh6Q3kUbfiKmAjLa2w.png
cb22ae61-5cdc-412c-a205-baaf5c573826,David Renton,Genesys - Senior Security and GRC Project Manager,"A dual cloud certified, low ego, mindful, empathetic Technical Security and Compliance Project Manager managing complex cross-functional projects in a fast-paced experience as a service environment. A tenacious self-starter with deep sense of ownership, ability to probe complex dependencies, distill project plans, and drive successful cross-team outcomes. Superb organizational skills, exclent communication skills and well-rounded interpersonal skills, able to get along well with diverse personalities. A reliable and trustworthy team member with a strong understanding of confidential awareness when appropriate. Inherently curious about how things work and the ability to self-educate when necessary. Passionate and knowledgeable about Security, Compliance, Agile, DevOps, DevSecOps, SDLC to name a few.",https://sessionize.com/image/a140-200o200o2-777uQXrAwkw3KukekkBoB7.jpg
a75e1b94-c3a1-4d6a-ab61-d5f06b90708a,Dina Bavli,Data Scientist @ Sumit-AI,"Dina Bavli is a Data Scientist with experience in NLP, Graph theory, NetworkX, churn prediction, and a growing interest in ASR (automated speech recognition). Her Master's thesis deals with classifying and characterizing persuasion. She is a former teaching assistant for ML and an international public speaker. She is a data science content writer for workshops, meetups, and online courses, and an official author of the Towards Data Science and Better Programming publications.Dina is passionate about data, sharing knowledge, and contributing to society. Whenever she can't find a sufficient tutorial, she creates one.",https://sessionize.com/image/19f1-200o200o2-VBsj6VHJnWcXLgRDzbjqs5.jpg
e59f5ac7-45c2-401d-8f74-98f74f154624,Dom Weldon,Cloud Software Engineer,"Dom is a full stack cloud software engineer based in central London. He works as an independent contractor, primarily in financial services, and is a Principal Associate at Decision Lab, a consultancy with expertise in simulation, optimisation, and machine learning. Dom's primary expertise are in Python and Javascript, graph and relational databases, and infrastructure as code (IaC) in AWS using Terraform.Dom studied at the University of Cambridge and King's College London. Outside of work, Dom is interested in languages and travelling, and holds a voluntary statutory appointment monitoring the welfare and dignity of prisoners in a challenging North London jail.",https://sessionize.com/image/e27c-200o200o2-WTsgRSe7e8TecfALQsVUbh.jpg
5070667c-1fb5-425f-8760-ebf04b3c56f2,Donal Byrne,"Research Engineer, InstaDeep","Donal is a Research Engineer specialising in Reinforcement Learning (RL) and developing frameworks for machine learning across a variety of domains. He has worked in a wide range of areas across ML, including Autonomous Driving, framework development and RL research. Driven by seeing algorithms come to life, his passions include cutting edge software, creativity and collaborating with amazing people. While waiting for his models to converge, Donal spends his time reading everything written by Brandon Sanderson, training callisthenics and playing Dungeons & Dragons.",https://sessionize.com/image/00b8-200o200o2-E87pU49XNpQJN7wxN6cFPp.jpg
a9dfd98d-3232-4653-94fc-529227bba202,Gauri Vaidya,PhD student @ University of Limerick,Gauri is a postgrad at the University of Limerick in Artificial Intelligence where her research area is multimodal learning and evolutionary computation. She holds a bachelor's degree in Computer Science and Engineering stream from India. She has a wide experience in applying python libraries for deploying machine learning models and visualizations in the domain of transportation. Her team won the first prize in Smart India Hackathon 2019. She has experience in delivering workshops in international hackathons and invited talks in national and international universities.,https://sessionize.com/image/00fa-200o200o2-VZvn7frfpVGQ5faCMY9woW.jpg
