id,speaker1,speaker2,speaker_id1,speaker_id2,title,room_id,room,start_at,end_at,description
525513,Pablo Galindo Salgado,,e92aeac6-2d20-4732-b56d-6c16bb7c6e20,,The snake of Theseus,37149,Ground Floor Room 1,2023-11-11T09:30:00.0000000Z,2023-11-11T10:15:00.0000000Z,"As Python keeps evolving and attracts an ever-growing community with unique perspectives, steering council members and core developers face the enthralling challenge of preserving Python's fundamental identity. In this talk, we embark on a journey, exploring how Python retains its essence while evolving, accommodating new features, and embracing diverse viewpoints. From balancing innovation and compatibility, to navigating the maze of language design, we will discuss what fortifies Python against change and how we prepare to make complicated decisions that may change the language forever."
523473,Rodrigo 🐍🚀,,88c3aa82-9db6-4b95-8ae5-dee1ce11231f,,How to implement a Python-like programming language,37151,First Floor Workshop Room 1,2023-11-11T10:25:00.0000000Z,2023-11-11T12:45:00.0000000Z,"In this hands-on tutorial, we go over the basic steps needed to create a programming language like Python, from scratch.Aimed at curious people that have no experience writing interpreters or compilers, this workshop follows the steps needed to implement a programming language from scratch: 1. we read source code and break it up into tokens; 2. we parse the sequence of tokens to see if they make sense together and to build a tree representation of the program; 3. we compile the tree representation into bytecode, just like Python does; and 4. we interpret the bytecode to run the program.To attend this workshop, at least 1 year of Python experience is recommended."
524919,Ramon Perez,,c0584563-1fcb-458e-b250-9a564c0237a7,,Architecting Dashboards: A hacky and yet practical guide for sharing insights,39727,First Floor Workshop Room 2,2023-11-11T10:25:00.0000000Z,2023-11-11T12:45:00.0000000Z,"Providing effective insights based on data can be gratifying and challenging at the same time. Doing so correctly can feel as if we were detectives lining up the facts after all of the evidence has been thoroughly evaluated. This workshop aims to help programmers of various backgrounds and experience levels to effectively put on their detective hats and tell stories through data visualizations and dashboards using Python.This beginner-friendly workshop is split into three parts with exercises in each, and all three follow a top-down approach. This means that each time block starts with the punchline (i.e. the results) and we then we would work our way backward with clear explanations on how and why each question was asked, each function was created, and each choice was made. One of the added benefits of this approach is that participants will be able to take what they learn throughout the session and use it to analyze and reverse engineer datasets and results, respectively, that they might encounter in the wild.All you need to attend this workshop is your laptop, some knowledge of Python (1-year preferred), and a GitHub account.Here's a detailed outline of the session.Total time budgeted including breaks - 3 hours.1. **Introduction and Setup (~20 minutes)** - Environment set up. The workshop can be run locally in any IDE, and links to instances in GitHub Codespaces and Google Collab will also be provided. - Breakdown of the session. - Instructor intro.2. **Static Dashboards (~40 minutes)** - Intro to the problem, the dashboard, and the Python tools we'll use. - Static dashboard creation and customization. - Exercise (7 min). Participants will be given a dashboard with 3-5 visualizations and their task is to reverse engineer any of the visualizations in it.3. **15-minute break**4. **Interactive Dashboards (~40 minutes)** - Intro to the problem, the dashboard, and the Python tools we'll use. - Interactive dashboard creation and customization. - Dashboard and main functions breakdown - Exercise (7 min). Following the example of exercise 1, participants will take one of the static visualizations and make it into an interactive one. 5. **15-minute break**6. **Dashboard Deploying (~40 minutes)** - Overview of different deployment strategies and tools for both static and interactive dashboards. - Deploying a static dashboard via GitHub Pages. - Walk-through on how to deploy a dashboard app. - Exercise (7 min). For this exercise, participants will modify the dashboard of part one and deploy it as a GitHub Page."
519499,Michael Twomey,,2084c6e1-e13d-45f6-bb19-107795ec495d,,Exploring boto3 behaviours using mitmproxy,37149,Ground Floor Room 1,2023-11-11T10:35:00.0000000Z,2023-11-11T11:10:00.0000000Z,"If you are writing code in Python which communicates with AWS APIs you are more than likely using the boto3 library.boto3 isn't easily extended via inheritance or callbacks, instead it offers an event system which allows you to intercept and modify calls at different stages in their lifecycle.This is a very powerful mechanism which can be quite hard to start using due to the documentation only covering a subset of events. To make your life even harder, some events might only be seen during certain failure scenarios, making it difficult to write robust code.In this talk I'll show:- How to write basic code to listen to events- An example of some events you might see in typical S3 requests- How to use mitmproxy to intercept, understand and ultimately rewrite HTTP requests between boto3 and AWS to simulate different scenarios- An example of the events you'll see during request retries- An example putting this together to insert monitoring into the boto3 retry mechanism to diagnose network issues"
516619,Stephen McCullough,,c35424d8-1523-43a2-abbf-fa8614fab494,,Leveraging AWS SageMaker for Scalable AI Deployment with Python: A Real-World Journey,37150,Ground Floor Room 2,2023-11-11T10:35:00.0000000Z,2023-11-11T11:10:00.0000000Z,"The power of artificial intelligence (AI) has been unleashed across various domains, driving numerous innovative solutions. However, the process of building, training, and deploying machine learning models at scale can be a complex task. This talk will focus on how Python, as a leading programming language in the AI field, can interact with AWS SageMaker to streamline this process and make scalable AI deployment achievable.During this session, I will take the audience on a journey through the world of AWS SageMaker, an integrated platform designed to assist developers and data scientists to build, train, and deploy machine learning models. I will focus on how Python can be utilised to maximise the benefits of SageMaker, demonstrating its use through real-world examples.In this presentation, I will cover:Introduction to AWS SageMaker: Understand the fundamental features of SageMaker and why it is a potent tool for AI and ML development.Python & SageMaker: Dive into the synergies between Python and SageMaker. Learn how to write Python scripts that harness the power of SageMaker for model training, evaluation, and deployment.Real-world Case Studies: Walk through a series of real-world use cases that illustrate the successful application of SageMaker in Python-based AI projects.Best Practices and Pitfalls: Gain insights into the best practices when using Python with SageMaker, and learn about common challenges and how to overcome them.Future of AI with Python and SageMaker: Discussion around the potential advancements and improvements we can anticipate in the AI world, with Python and AWS SageMaker at its core."
515995,Kairo Francisco de Araujo,,5fa2b298-f1e7-4648-8bca-62cda6310656,,PEP 458 a solution not only for PyPI,37149,Ground Floor Room 1,2023-11-11T11:10:00.0000000Z,2023-11-11T11:45:00.0000000Z,"PEP 458 uses cryptographic signing on PyPI to protect Python packages against attackers. The implementation of the PEP inspired the Repository Service for TUF (RSTUF), a project accepted into the OpenSSF sandbox. We identified that the design could benefit other organizations and repositories looking to secure their software supply chains. In this talk we would answer the following questions:How did the PEP 458 design help to start the Repository Service for TUF (RSTUF)?How could RSTUF be used for PyPI with its millions of packages?How can RSTUF be deployed by any organization at any scale without requiring TUF expertise?Additionally, in this talk, we would give an overview of PEP 458, how it works, and give a high-level overview of TUF."
516172,John Curry,,af2eaf38-1f9d-43b2-96fc-25b4192fba1a,,Going the Last Mile – The Story of an Irish Python Based Consultancy,37150,Ground Floor Room 2,2023-11-11T11:10:00.0000000Z,2023-11-11T11:45:00.0000000Z,"In 2018, sick of my banking job, I took on a small gig to rewrite financial algorithms in a parallel Python library called Numba for GPU. Only problem was that I didn’t know anything about parallel processing or Python or own a GPU. But I took the job anyway, figuring how hard could it be? It turned out to be very hard. Even getting a server with GPU up and running on AWS (which I also had never used) took days. But I enjoyed the project and managed to complete it. Fast-forward 5 years and Last Mile has grown to a team of for software engineer/analysts. And we’ve carried out projects as diverse as supply chain forecasting, predictive maintenance for mines, K12 CS education strategy for Microsoft and my favourite, the optimization of chocolate manufacturing. We also tried our hand at launching our own product. Along the way we have not only learned Python the hard way. We have also had to come to grips with deploying PyTorch transformer models, creating complex micro-services, handling data streaming at scale and a host of other challenges. I’d like to share our journey with you and reflect on how to (or how not to!) free-lance as a software or AI consultant, start a Python based business, grow a company and handle complex projects in specialisms that you could never train for."
524384,Sadhana Srinivasan,,401c2ca2-9840-4b3c-ba39-2b6a3c8c7cc5,,"The Gilectomy: Past, Present and Future",37149,Ground Floor Room 1,2023-11-11T11:45:00.0000000Z,2023-11-11T12:20:00.0000000Z,"In Python, multithreading has historically faced challenges due to the Global Interpreter Lock (GIL). However, after years of ongoing efforts, the community has achieved a breakthrough with the acceptance of PEP 703.This talk will delve into the GIL, its origins, and the reasons for its removal. It will provide a brief introduction to the GIL and its significance in Python's early days.We'll also explore the journey of various attempts to remove the GIL, including the gilectomy by Larry Hastings, and understand the obstacles faced during those attempts.The focus will then shift to the success story behind PEP 703, highlighting Sam Gross's remarkable 'nogil' project, which played a crucial role in getting the proposal accepted.Finally, we'll touch on the roadmap proposed by the CPython core development team for merging PEP 703, offering insights into what we can expect in the future of Python's multithreading capabilities."
515342,Pedro Tabacof,,d34f4e85-b6ca-429c-9320-477221c8945c,,How I lost 1000 euros betting on CS:GO with machine learning,37150,Ground Floor Room 2,2023-11-11T11:45:00.0000000Z,2023-11-11T12:20:00.0000000Z,"People have been using ""machine learning"" for sports betting for decades. Logistic regression applied to horse racing made a bettor a multi-millionaire in the 80s. While fun, betting is a losing proposition for most. The house always wins, right?With a friend, I thought we could beat the house in e-sports by leveraging modern ML tools. E-sports betting is way less sophisticated than football or horse racing. The market is less efficient. There is a lot of online data and unknown teams. It was a space ripe for disruption, or so we thought.I will explain how we built a web scraper to extract individual and team features, developed a probabilistic classifier using XGBoost, defined betting rules using the Kelly criterion, and lost actual money."
523696,Morgane Mahaud,,0ca40f24-6892-4e11-9ec2-39a40464b56d,,"Don’t be too soft when guiding the catastrophic behaviour of a bullshiter, and other LLM code tips",37151,First Floor Workshop Room 1,2023-11-11T13:35:00.0000000Z,2023-11-11T15:35:00.0000000Z,"Large Language Models (ChatGPT-likes) can translate between natural language and code language, and they can plan tasks. This allows empowering classic code flows, such as querying a database or orchestrating tasks in the backend, but it comes with limitations and potential pitfalls. The best practices in this domain are still being defined.This talk will present core concepts that help with coding using an LLM and share some useful tips.Beginner friendly presentation.Note from presenter:Hello,In order to be best prepared for the workshop, please create an account on hugging face (free) https://huggingface.co/The code that will be used during the workshop will be available at https://bitbucket.org/Erymenn/pycon2023_llm_code_workshop a short time before the workshop. We will be using mostly default python libraries (requests, os...). If you can add jupyter and pandas to your python setup, that would be nice to have."
