id,name,tagline,bio,photo
f41f5963-450e-44f0-93d0-deb9fbdc05f8,Allyn Hunt,"Allyn Hunt, Senior Deep Learning Hardware Design Engineer, Gamer, Father.","I am a Senior Hardware Design Engineer, working on AI products. In my spare time, I like to play video games and design web applications with Python and ReactJS.",https://sessionize.com/image/3643-200o200o2-sL4WxTQ7nKnpb2UXyRhX9B.jpeg
e142a8fb-ac27-4c73-96ec-e4f1fe620ca3,Cheuk Ting Ho,Developer Advocate @ Anaconda,"Before working in Developer Relations, Cheuk has been a Data Scientist in various companies which demands high numerical and programmatical skills, especially in Python. To follow her passion for the tech community, Cheuk is now the Developer Advocate at Anaconda. Cheuk also contributes to multiple Open Source libraries like Hypothesis and Pandas.Besides her work, Cheuk enjoys talking about Python on personal streaming platforms and podcasts. Cheuk has also been a speaker at Universities and various conferences. Besides speaking at conferences, Cheuk also organises events for developers. Conferences that Cheuk has organized include EuroPython (which she is a board member), PyData Global and Pyjamas Conf. Believing in Tech Diversity and Inclusion, Cheuk constantly organizes workshops and mentored sprints for minority groups. In 2021, Cheuk has become a Python Software Foundation fellow.",https://sessionize.com/image/02b0-200o200o2-X2ZpsvAzHfef82YhYhmDsZ.JPG
c3b26a0c-5c1d-4c5d-a9a5-5deeebe7b4ab,Christian Ledermann,"I have been working in the Software industry for over 25ish years in 4 Countries - 🇩🇪, 🇰🇪, 🇬🇧, and 🇮🇪 - and ended up as Senior Software Engineer at Oomnitza in Galway, Ireland.","The first time I saw a Python Prompt it displayed the version Number 1.5.2 🦖, professionally I used python since 2003, (Python 2.2)",https://sessionize.com/image/26ad-200o200o2-UxaGUoo43Eb9HrbKhA2Duu.png
1e78745c-94c2-458f-8b43-9bc0c888ddd4,Dean Moorehouse,"Senior Engineer @ ADI, BSc Electronic Engineering, MSc Information & Network Security","Dean has a degree in Electronic engineering (WIT: 2011) and a Masters of Information and Network Security (UL: 2022). Dean worked in mobile network infrastructure in Cork from 2011 until moving to Analog Devices in Limerick in 2015 as a senior design evaluation engineer and has presented at several internal conferences and won an internal cyber security hackathon in 2021. Hobbies include guitar, photography, some DIY, gaming, and some coding.",https://sessionize.com/image/7e2f-200o200o2-7s2pf7Tb8mHgrDxSURn5Wb.jpg
f208e560-c720-4398-a341-1db7a454e5c2,Fawaz Ghali,"Hazelcast, Principal Developer Advocate","Fawaz Ghali is a Principal Developer Advocate at Hazelcast with 20+ years’ experience in software developments, machine learning and real-time intelligent applications. He holds a PhD in Computer Science and has worked in the private sector as well as Academia as a Researcher and Senior Lecturer. He has published over 46 scientific papers in the fields of machine learning and data science. His strengths and skills lie within the fields of low latency applications, IoT & Edge, distributed systems and cloud technologies.",https://sessionize.com/image/16a6-200o200o2-Vc66RsG46VQU2fyc2AaVwv.jpg
a1d07f8a-63a9-431f-bd00-cc43fb6b7a7c,Haritha Nenavath,Sr. Data Science Manager at Gramener,"Haritha has been in the Data science industry for 12+ years. She's passionate about using data and latest technology to solve Business problems. She has worked with Dell, Mu-sigma, Bridgei2i(acquired by Accenture) , Wipro etc. She is an alumni of IIT Madras and IIM Indore",https://sessionize.com/image/0871-200o200o2-NQzqSB1nKR6gWGNwDRfcyM.png
1de5e334-6895-4c02-8b48-75ee6c1b46ca,JJ Asghar,Developer Advocate for the IBM cloud,"JJ works as a Developer Advocate representing the IBM Cloud all over the world. He mainly focuses on the IBM Kubernetes Service and OpenShift trying to make companies and users have a successful onboarding to the Cloud Native ecosystem. He’s also been known in the DevOps tooling ecosystem and generalized Linux communities. If he isn’t building automation to make his work streamlined he’s building the groundwork to do just that.He lives and grew up in Austin, Texas. A father and husband, trying to learn to balance his natural nerdiness with family life. He enjoys a good strong dark ale, hoppy IPA, some team building Artemis, and epic Gloomhaven campaigning.He has recently dove headfirst into Fedora since IBM buying Redhat, but still secretly wants FreeBSD everywhere. He’s always trying to become a better web technology developer, though normally just uses bash to get the job done.",https://sessionize.com/image/8729-200o200o2-McqYUtpWSadpz9r7Ru1Jwv.png
26fa80fe-888e-43bb-af4c-7050fb0ca934,Karan Balkar,Mobile Application Developer at LTI,Karan Balkar is a mobile application developer primarily working on Android since the past 5 years. He has also worked on Augmented reality / Virtual reality based mobile applications and is passionate about exploring new innovative technologies.,https://sessionize.com/image/28b5-200o200o2-8ea357a8-b356-4b05-bdf7-7ad9b70ef63a.jpg
4e52cb59-2074-4f77-ad95-1f7c36f3bb28,Mackenzie Jackson,Developer advocate - Security fanatic,"Mackenzie is a developer advocate with a passion for DevOps and code security. As the co-founder and former CTO of a health tech startup, he learnt first-hand how critical it is to build secure applications with robust developer operations. Today as the Developer Advocate at GitGuardian, Mackenzie is able to share his passion for code security with developers and works closely with research teams to show how malicious actors discover and exploit vulnerabilities in code.",https://sessionize.com/image/ca82-200o200o2-TBJDeDf6YJAic3dCfEdDSs.jpg
9161a888-6360-44c2-bf65-8af9640d3c46,Max Vizard,SRE at Demonware,"Graduate of UL's Computer Game Development course and long time Python user, Max has been attending Pycon Ireland since 2011. Loves using MicroPython for his custom home automation setup as well as monitoring his garden. Operates the online services for Call of Duty at Demonware Dublin.",https://sessionize.com/image/5d57-200o200o2-w6Jmdp422pfpM92GWE6zaX.jpg
fa1a80e6-019e-4206-a0b0-d36465f15991,Mick O'Hara,"Staff Engineer, member of the Consumer Design Evaluation group at Analog Devices, Limerick.","Graduated from University of Limerick in 2003 with a BE in Electronic Engineering. Having worked for a period as the back-end Device Engineer in Intel's Fab24 yield department in Leixlip, I left Intel and joined Analog Devices in Limerick where I worked in manufacturing for several years before moving to the Digital Video Products (DVP) Design Evaluation team. As part of the DVP group, I worked on various video technologies such as MIPI and HDMI. I joined the Consumer Evaluation team in 2017 and continued to work on HDMI parts for consumer applications before moving on to some of the Advanced silicon IC's developed by the group in recent years.Hobbies & Interests: Hurling (former player, current coach and keen spectator), weights training, quality family time, reading, listening to podcasts.",https://sessionize.com/image/0254-200o200o2-EvUzkUWeKvxFtqwd13UTUm.jpg
807bd731-e817-49fa-81c1-89673ff45ad6,Moshe Reubinoff,Development Manager at Ownbackup,"I'm Moshe Reubinoff, and I am Manager at Ownbackup. I have a passion for technology and a talent for public speaking. I have a track record of success in developing and building projects from scratch in a wide range of products and markets.I have extensive experience working with cloud platforms, including AWS and Azure, and I have a deep understanding of the benefits and challenges of deploying projects to production. Additionally, I have worked for several cybersecurity and networking companies.I am the proud parent of three kids who find my passion for technology both weird and awesome.",https://sessionize.com/image/f560-200o200o2-96FLrwdDwMbVnRZzAzumzq.jpg
f82daae1-5b95-425c-9d77-f822e73536af,Mykalin Jones,Astrotutors - Founder/Instructor,"I am an instructor with over a decade of experience. I am passionate about teaching python, maths, physics, problem-solving strategies, and English. My personal interests lie in pedagogy, particularly that of programming, maths, and language. I, myself, am a student of French (C1), and Irish (A2). I am curious about how language impacts how we learn new skills and think about complex problems. I completed my B.S. in Physics and continued with a Master's in Nuclear Science and Engineering at Worcester Polytechnic Institute in Massachusetts. In 2019, I moved to France, where I completed another master's in Particle Astrophysics. It was during my education that I discovered my love of python and programming. The majority of my work was in computational physics. Since graduating, I have become a full-time educator. I have taught over 100 students python in private and group settings. I've created my own curriculum for teaching python to children which I am constantly updating in attempts to figure out how to teach python in an optimal way that is engaging and impactful. Right now, I'm working on translating it into French!",https://sessionize.com/image/2816-200o200o2-MUyWS9uzypTKJzDrUSCrLe.jpg
654a86e8-c3a2-4ba1-87a6-ece48f11e032,Ricardo Sueiras Sueiras,Principal Advocate for Open Source,"Over 30 years spent working in the technology industry, and over 20 years working with open source. I help customers solve business problems with open source technologies and cloud. Currently I am a Developer Advocate at AWS focusing on open source. I help raise awareness of AWS and what we are doing with open source, and help make AWS a great place to run your open source software.",https://sessionize.com/image/ad62-200o200o2-HcZ8sLea3XRLMMWBLsjZey.jpg
bccb7d0c-8d1d-4293-a7e4-ef603de4dbb1,Rushiraj Chavan,Data Scientist at Gramener,"My name is Rushiraj Chavan, and I am a Data Scientist at Gramener with a passion for engineering. I specialize in machine learning, computer vision, and deep learning and have extensive experience in these fields. In the past, I have worked on a range of projects, including Supply Chain optimization for a cold storage warehouse, Generative AI, Computer Vision, and Audio Signal Processing.My work in these areas has given me a deep understanding of the technical and practical considerations involved in implementing complex projects. I am constantly exploring new techniques and models, and I enjoy staying up-to-date with the latest developments in the field.",https://sessionize.com/image/573d-200o200o2-QcQxGtxknL8V8Up7F2kGEP.jpg
