id,speaker1,speaker2,speaker_id1,speaker_id2,title,room_id,room,start_at,end_at,description
384574,Paul Banahan,,a67570c9-bfbb-4e5c-a03e-ac10bd3e623f,,Coding on the Healthcare Frontline: Developing Medical Imaging AI from within an Irish Hospital,27388,Room 1,2022-11-12T09:30:00.0000000Z,2022-11-12T10:20:00.0000000Z,"Exploring the application of python software solutions in radiology that are in use and in development in an Irish Hospital. From use case discussions to data acquisition and modelling, this session will detail the development processes for Artificial Intelligence in Irish Radiology."
378451,Ben Fagan,,b2b1dab7-4e44-44c1-8de4-06fa631212cc,,Python draws pixels: starting a basic Gameboy emulator in Python,27388,Room 1,2022-11-12T10:35:00.0000000Z,2022-11-12T11:10:00.0000000Z,"Nintendo's humble Gameboy is an interesting project for the reasonably advanced programmer. Seemingly straightforward in design, and with no operating system to speak of, it nevertheless provides a challenge to those who have never worked on creating a virtual version of a games console.This talk will focus on the journey of getting a simple Gameboy emulator working in Python. It will go from getting some basic CPU commands working to getting a basic version of Tertris running - the ""Hello World"" of emulation."
374537,Liam Brannigan,,882e4faf-b716-4892-ac9f-994682e7708f,,Dataframes in python: a new era begins,27389,Room 2,2022-11-12T10:35:00.0000000Z,2022-11-12T11:10:00.0000000Z,"Pandas has been the mainstay of data processing in python for over 10 years. However, new libraries building on radically different concepts are making pandas obsolete. This talk will introduce 3 of the most promising new libraries: DuckDB, Vaex and Polars and show the use cases where they excel"
381417,Max Vizard,,9161a888-6360-44c2-bf65-8af9640d3c46,,Workshop: Intro to MicroPython,27390,Workshops 1 - 1st Floor,2022-11-12T10:35:00.0000000Z,2022-11-12T13:05:00.0000000Z,"A guided introduction to using MicroPython to control LEDs, buttons, sensors and more. Starts with a quick overview presentation and then attendees can work through the material at their own pace. MicroPython hardware provided for the session, attendees just need their own laptop and a MicroUSB cable."
379178,Simer Anand,,91c9ba2d-57ae-484f-bcc7-65bd3c00bc9d,,Getting started with Python Asyncio,27388,Room 1,2022-11-12T11:40:00.0000000Z,2022-11-12T12:15:00.0000000Z,"My session will be for the beginners who aren't of running the Python programs in concorrurent fashion and for the experienced programmers who are aren't just using the asyncio due to lack of easy to understand examples.Topics:- Talk about Parallelism, Concurrent, Multi-Threading and Multi-Processing, - Introduction to Concurrency in Python using Asyncio- Understanding of keywords async, await and components of Asncio,- Asyncio in Jupyter Notebooks- Asyncio examples - Q/A"
379467,Stephen McInerney,,a2b6f72c-cf4e-4bba-8d6e-61d3b2adcf00,,"NLP, Topic Modeling and Scraping of conference talks to find which topics are hot and not",27389,Room 2,2022-11-12T11:40:00.0000000Z,2022-11-12T12:15:00.0000000Z,"NLP (Natural Language Processing) and Topic Modeling are subdomains of Machine Learning which are core technologies for Python data scientists; and the automated collection of data by Scraping (in a TOS-compliant,ethical way) is a rarely-discussed practice."
370030,Richard Rowland,,8df90c47-5bc9-49d6-9702-2f94f3eff945,,"Why ""Hello World"" is a Massive Operation - From Python code to Stack Virtual Machine",27388,Room 1,2022-11-12T12:20:00.0000000Z,2022-11-12T13:05:00.0000000Z,"Python is a widely-used programming language thanks to its simple code syntax, but this convenience is brought by the hard work of the compiler. Among the many implementations (like PyPy and JPython), we will look at the most widely used CPython implementation. The talk will look at the compilation steps, and examine how the resulting bytecode will be executed in the Python virtual machine. Before a simple string is displayed on a terminal, CPython processes code performs complicated tasks from lexical analysis, parsing, compilation, and to evaluation loop. Even executing a simple program like print(“Hello world”) requires this laborious process performed instantly on the computer. By understanding the execution pipeline, we can identify execution bottlenecks to improve code performance."
369005,Linda Smith,,203b80fc-690c-4f0b-a78e-af9d0fc3dd19,,Assigning taxonomy to microbiome viruses using python,27389,Room 2,2022-11-12T12:20:00.0000000Z,2022-11-12T13:05:00.0000000Z,"During my PhD I saw the need for a tool which can assign accurate taxonomy to viral metagenomic sequences. Unlike bacterial DNA which can be accurately classified by looking at a highly conserved 16S rRNA region, viruses have no such universal marker gene and a lot of viral sequences have been described as ""viral dark matter"" as they have no hits to known sequences in reference databases. I decided to write a tool using python. I would like to describe the problem and my approach using python. The steps involved required data collection, data processing and cleaning, analysis using pandas and numpy, and visualization."
379977,Dom Weldon,,e59f5ac7-45c2-401d-8f74-98f74f154624,,It's Your Call(able): a tour of Python's callable (function) interface,27388,Room 1,2022-11-12T14:00:00.0000000Z,2022-11-12T14:35:00.0000000Z,"A deep dive into python functions and the callable interface surrounding them. We take a tour into everything that happens on on a “def” line in Python, and explore how to make the most of all the rich metadata provided about functions, before going into detail hacking the Python decorator pattern.AbstractFunctions are fundamental to python, and are amongst the first features of python that most users learn. We call a function with arguments, and it returns a value. However, there is more to this callable interface than meets the eye, and there are lots of useful and powerful things we can do with the callable interface. You may have come across many of these already: (anonymous) lambda functions, the call magic method, the decorator pattern, the doc property, and modules like functools and inspect which provide detailed about functions and allow us to alter functions at runtime. The now-retired Python 3.6 release added typing annotations to this mix, and opened up a new world of metadata to use alongside your callables.Lots of libraries, particularly web frameworks like Flask, Django, and FastAPI, and testing toolkits like pytest, use this callable interface to implement their API. As developers, understanding these advanced features of python’s callable interface is particularly useful when writing generic, automation focused code, and understanding how such prominent libraries work.This talk gives a deep-dive into python functions, and the associated callable interface. We’ll start with a quick tour of the basics, before covering python’s more advanced callable features, and exploring some examples about how, why, and when you may wish to use these features yourself."
398629,James Shields,,269cc6c1-b829-4ad1-9440-1398062a29b8,,Hacking a Python Hackathon,27389,Room 2,2022-11-12T14:00:00.0000000Z,2022-11-12T14:35:00.0000000Z,A story about organizing an internal on-site python hackathon and all that can go wrong about it
