id,status,title,url,start_at,end_at,going,eventType,venue,city,address,postalCode,lat,lng,host1,host2,host3,host4,host5,topic1,topic2,topic3,topic4,topic5,description
103156622,PAST,Python Ireland Feb 2013 Talks,https://www.meetup.com/pythonireland/events/103156622,2013-02-13T19:00Z,2013-02-13T19:00Z,17,PHYSICAL,The Warehouse (Engine Yard),Dublin,"35 Barrow Street, Ringsend",,53.340996,-6.236386,Vicky Twomey-Lee,Diarmuid Bourke,,,,,,,,,"The event is free and all levels are welcome.
There will be free refreshments and pizzas at the talks.

A big thanks to Engine Yard for hosting our event, and also to Intercom for sponsoring us on meetup.com.

TALK 1

""A 30 minute quick start guide to monitoring and metrics"" (Michael Twomey)

Level: Beginner

Description
What will be covered:-

What is monitoring? What are metrics? Why do I care? What quick and dirty things can you do now to improve your life? What could you be aiming for long term? A quick summary of a bunch of tools:

Graphite (and of course hostedgraphite.com) OpenTSDB New Relic Pingdom Tracelytics Datadog Log scraping TALK 2

""MongoDB, MongoKit & Python for data driven integration testing."" (Jakub Jarosz)

Level: Beginner
Length: 15min

Description

I will cover few use cases of using MongoDB in the integration testing process and show how we simplified tests using pytest and JenkinsCI.

Lightning Talks

Darren Fitzpatrick will be giving a Lightning Talk on ""How to try to make a audio game with no knowledge of python what so ever"" People are welcome to give a lightning talk on the night."
107335732,PAST,Python Ireland - March Talks,https://www.meetup.com/pythonireland/events/107335732,2013-03-13T19:00Z,2013-03-13T19:00Z,29,PHYSICAL,The Warehouse (Engine Yard),Dublin,"35 Barrow Street, Ringsend",,53.340996,-6.236386,Vicky Twomey-Lee,Diarmuid Bourke,,,,,,,,,"Speaker: Conor McDermottroe

Title: Using DTrace with Python

- Describe what DTrace is and isn't. Give guidance on when to use it and when to use a debugger or profiler.
- Work through the high points of the syntax showing what is and isn't possible.
- Show off the Python-specific stuff available in DTrace
- Go through a worked example or two

Lightning Talks

Speaker: Tony Cronin

Title: ""Python & the Competition: Perspectives of a newish Pythonista""

If anyone wants to give a talk (any duration), do let me know, it's not too late. Plus Lightning talks are welcome on the night as well.

Details at python.ie:- http://python.ie/meetup/2013/python-ireland-talks-march-2013/"
110944732,PAST,April Meetup,https://www.meetup.com/pythonireland/events/110944732,2013-04-10T19:00+01:00,2013-04-10T19:00+01:00,16,PHYSICAL,The Black Sheep,Dublin 1,61 Capel St,,53.349686,-6.269207,Vicky Twomey-Lee,,,,,,,,,,"We will have a pub meetup this month.

Good food and great craft beer, it has been awhile since we are the Black Sheep anyway.

All are welcome, see you there.

If you wish to speak or want to hear about something in the next meetup, please email contact@python.ie."
115399142,PAST,"May Meetup @ Science Gallery, Drinks in O'Neills Pearse st afterwards.",https://www.meetup.com/pythonireland/events/115399142,2013-05-08T18:15+01:00,2013-05-08T20:00+01:00,30,PHYSICAL,Science Gallery,Dublin,"Pearse St, Dublin 2",meetup1,53.343798,-6.24757,Diarmuid Bourke,,,,,,,,,,"We will be starting the talks at 6:30 sharp as we only have the venue until 8pm. We will be continuing the festivities in O'Neills Pearse st afterwards.

Title: Building web applications with Flask

Speaker: Mick Twomey

Description:
Flask is a popular web microframework for python, check it out at http://flask.pocoo.org/

I'll give a really quick introduction to what Flask is and how it works. I'll demo a small application and use it to show some tips and tricks for getting the most out of Flask.

A rough outline of what I'll be talking about:

1. Introduction to Flask
2. How Flask works, in particular its notion of context
3. A Hello World application
4. Testing Flask applications
5. Templates and data
6. Flask blueprints
7. Flask signals
8. Flask extensions

Title: Using Colander for data deserialization and validation.

Speaker: Diarmuid Bourke

Description:
This will be a quick presentation on an elegant library you can use in your webapps and APIs to help validate POST data. I'll be covering a basic example of its usage in an REST based API within the Pyramid framework.

http://www.python.ie/static/images/sponsors/main_logos/science-gallery.png

Venue thanks to The Science Gallery

The Science Gallery is a world first. A new type of venue where today's white-hot scientific issues are thrashed out and you can have your say. A place where ideas meet and opinions collide. -- http://sciencegallery.com"
121568652,PAST,June meetup,https://www.meetup.com/pythonireland/events/121568652,2013-06-12T19:00+01:00,2013-06-12T19:00+01:00,46,PHYSICAL,Science Gallery,Dublin,"Pearse St, Dublin 2",meetup1,53.343798,-6.24757,Vicky Twomey-Lee,Diarmuid Bourke,,,,,,,,,"Hi all,

I'd like to introduce this months talk at the Science Gallery. If we have time after the talk, we will have some lightning talks. If anybody has any short topics they want to present, let me know, or just show up on the day.

We will be having a pub meetup afterwards in O'Neills on Pearse st (across the road from Science Gallery).

As we only have the venue until 8pm, I'd like to ask that people show up early.

Title: Python and Async I/O

Speaker: Mark McLoughlin
Level: Intermediate
Length: 30 minutes
Abstract: For many programs, it's important to have some strategy for doing I/O in an async manner. This talk will attempt to provide a quick overview of the basic principles of the topic, some examples of existing support in Python frameworks and an introduction to recent work by Guido to bring async I/O support into Python core."
127539642,PAST,Python Ireland July Meetup,https://www.meetup.com/pythonireland/events/127539642,2013-07-10T19:00+01:00,2013-07-10T19:00+01:00,17,PHYSICAL,The Black Sheep,Dublin 1,61 Capel St,,53.349686,-6.269207,Vicky Twomey-Lee,,,,,,,,,,"We're having a pub meetup this month at The Black Sheep on Capel Street. Sorry about the late notice, it's been a busy month.

There will be a few people at the meetup who attended EuroPython in Florence last week, so it will be interesting to find out about any new technologies or announcements that were made.

Also, in case you haven't done so yet. Check out http://python.ie/pycon/2013/ to find out more about our upcoming conference in October. Tickets are still available.

See you all tomorrow."
132531572,PAST,August meetup,https://www.meetup.com/pythonireland/events/132531572,2013-08-14T18:30+01:00,2013-08-14T20:00+01:00,53,PHYSICAL,Science Gallery,Dublin,"Pearse St, Dublin 2",meetup1,53.343798,-6.24757,Diarmuid Bourke,,,,,,,,,,"Hi everyone,
We will be having our August meetup on the 14th this month in the Science Gallery at 6:30pm sharp.

Speaker: Reetta Suonperä

Title: Replicating a consumer sentiment index with Twitter

Description: Traditionally,a consumer sentiment index is constructed using a telephone survey of a few thousand individuals. This means that they are relatively costly, the results are reported with a lag and the monthly reporting frequency is relatively low. The way the questions are structured also limits the extent to which we can identify the drivers of sentiment. Twitter offers a possibility for faster, cheaper and more information-rich way of measuring consumer sentiment. This talk will explore an initial approach for using Twitter data to construct a consumer sentiment index and highlight some of the challenges and pitfalls.

-----------

Speaker: Ulrich Dangel

Title: Science, Python and You

Description: Short overview and examples of python packages and tools
useful for your everyday live as a Scientist

------------

We will also be having some lightning talks if we have time at the end."
136916402,PAST,September meetup,https://www.meetup.com/pythonireland/events/136916402,2013-09-11T18:30+01:00,2013-09-11T20:00+01:00,24,PHYSICAL,Science Gallery,Dublin,"Pearse St, Dublin 2",meetup1,53.343798,-6.24757,Diarmuid Bourke,,,,,,,,,,"Hi all,

We will be having some lightning talks this month. If anybody wants to give one, just bring some slides (or not) and let us know on the day. This could be good preparation / introduction for you if you want to give a lightning talk at PyCon in October.

We will then be going for a good healthy chat and pint in O'Neills afterwards.

Regards,"
140011612,PAST,October Pre PyCon Party & AGM,https://www.meetup.com/pythonireland/events/140011612,2013-10-09T19:00+01:00,2013-10-09T19:00+01:00,21,PHYSICAL,The Black Sheep,Dublin 1,61 Capel St,,53.349686,-6.269207,Diarmuid Bourke,,,,,,,,,,"We're having a Pre PyCon Party on the 9th of October (Wednesday before PyConIE) in the Black Sheep on Capel St. We will be having some food and a number of pints.

We will also be having our AGM on the night. We will be electing the new committee and reviewing the years activities including showing you the finances. So if you're interested in getting involved with the day to day operations of Python Ireland, feel free to come along and sign up for a committee position.

I'd like to remind anybody who has yet to get tickets for PyConIE http://python.ie/pycon/2013/, that you should do so quickly as they're almost gone (dinner tickets are sold out). Anybody wishing to go to the Advanced Python Workshop should complete the registration form http://www.python-academy.com/courses/python_advanced_pyconie.html in order to attend.

And finally, anybody wanting to go to the PyCon Sprints, which are free, you need to register http://python.ie/pycon/2013/

Thanks and see you on the 9th!"
135877222,PAST,ADVANCED PYTHON WORKSHOP AT PYCON IRELAND 2013,https://www.meetup.com/pythonireland/events/135877222,2013-10-11T09:00+01:00,2013-10-11T17:00+01:00,12,PHYSICAL,Camden Court Hotel,Dublin,Camden Street,,53.334442,-6.265275,Diarmuid Bourke,,,,,,,,,,"Want to warm up to PyCon Ireland in October? We are delighted to announce that Python Academy's Mike Müller will be teaching an advanced Python workshop.

The workshop is for intermediate Python programmers who would like to make it onto the advanced level. Learn how to take full advantage of this powerful language.

Python offers several advanced concepts. It is possible to write useful Python programs without them. But if you want to really understand how Python works and how to write really pythonic programs, you should know about these topics: Iterators and generators, Decorators, Descriptors, Metaclasses.

The workshop covers them in detail using code example that will be immediately useful for your daily work. Carefully crafted exercises help you to experience the learnt material. You will get detailed solutions for all exercises after the training.

Pre-requisites:

Bring your laptop with Python 2.7 or 3.3 installed for an intensive, hands-on workshop with real-life examples.

How much? EUR300 per person (plus 19 % VAT if applicable)

You can let people know you are going by RSVP'ing here, but you must register at http://www.python-academy.com/courses/python_advanced_pyconie.html in order to attend."
